user_id,monthly_price,discount_percent,churned,churn_date
1,499,0,0,
2,1999,20,0,
3,999,10,0,
4,999,0,0,
5,499,30,0,
6,499,0,1,2024-12-23
7,499,0,0,
8,1999,0,0,
9,999,30,1,2025-07-05
10,999,10,0,
11,499,0,0,
12,1999,10,0,
13,999,10,0,
14,499,40,1,2024-04-24
15,499,30,1,2023-07-26
16,499,0,0,
17,499,20,0,
18,999,0,1,2024-01-17
19,499,0,1,2025-02-18
20,499,0,0,
21,999,20,0,
22,499,10,0,
23,499,20,0,
24,499,0,0,
25,499,10,0,
26,999,30,0,
27,499,0,0,
28,999,20,0,
29,999,20,1,2025-04-24
30,499,0,0,
31,999,30,0,
32,499,20,1,2024-05-09
33,499,20,0,
34,1999,0,0,
35,1999,20,0,
36,999,30,0,
37,499,20,0,
38,499,10,0,
39,999,20,0,
40,499,40,1,2024-12-08
41,499,0,0,
42,499,20,0,
43,499,20,0,
44,1999,20,1,2023-11-07
45,499,0,0,
46,999,30,0,
47,499,30,1,2025-09-12
48,999,20,1,2024-06-25
49,999,10,0,
50,499,0,0,
51,1999,0,0,
52,999,20,1,2024-03-22
53,1999,20,0,
54,1999,0,0,
55,999,0,0,
56,1999,0,0,
57,499,20,0,
58,499,0,0,
59,499,0,0,
60,499,0,0,
61,499,30,0,
62,499,0,1,2026-01-13
63,999,20,0,
64,499,10,0,
65,499,10,0,
66,999,10,1,2024-03-15
67,499,10,1,2024-04-12
68,999,0,0,
69,499,10,1,2024-05-31
70,1999,0,0,
71,999,0,1,2024-07-31
72,499,30,0,
73,499,20,0,
74,999,0,0,
75,999,10,1,2025-05-05
76,999,40,0,
77,999,0,1,2024-09-07
78,499,30,1,2025-03-10
79,499,20,0,
80,499,10,0,
81,1999,40,1,2024-04-01
82,999,0,0,
83,499,0,0,
84,499,0,0,
85,499,20,1,2024-02-09
86,499,0,0,
87,999,0,0,
88,999,20,0,
89,1999,0,1,2024-09-01
90,499,0,0,
91,499,0,0,
92,999,30,0,
93,999,30,0,
94,999,20,0,
95,999,0,0,
96,499,10,0,
97,999,0,1,2025-08-23
98,499,30,0,
99,499,20,0,
100,499,0,0,
101,499,0,0,
102,999,10,0,
103,499,20,0,
104,999,30,0,
105,1999,0,0,
106,499,30,0,
107,499,0,0,
108,999,0,0,
109,499,0,0,
110,499,0,1,2025-01-01
111,499,0,0,
112,499,0,0,
113,1999,30,1,2024-11-30
114,999,0,1,2024-09-01
115,999,10,1,2026-01-09
116,1999,10,0,
117,999,40,0,
118,499,0,0,
119,1999,0,0,
120,999,40,0,
121,999,10,0,
122,1999,0,0,
123,499,0,1,2024-02-16
124,499,0,0,
125,499,10,0,
126,499,20,0,
127,999,10,0,
128,1999,30,0,
129,499,10,0,
130,999,0,0,
131,499,0,1,2024-09-06
132,499,0,1,2024-08-19
133,499,0,0,
134,499,40,0,
135,1999,0,0,
136,499,10,0,
137,999,0,0,
138,999,0,0,
139,499,20,0,
140,1999,10,0,
141,1999,0,1,2024-12-03
142,499,30,0,
143,499,10,0,
144,499,0,0,
145,499,20,0,
146,499,0,0,
147,999,10,0,
148,999,10,0,
149,499,20,0,
150,499,0,1,2023-11-20
151,1999,30,0,
152,499,20,0,
153,499,20,0,
154,499,40,0,
155,1999,30,0,
156,499,0,0,
157,999,20,0,
158,999,30,0,
159,499,10,0,
160,999,20,0,
161,499,0,0,
162,999,30,0,
163,999,20,0,
164,999,30,1,2024-05-20
165,499,20,0,
166,999,30,0,
167,499,0,0,
168,499,30,0,
169,499,40,0,
170,999,30,0,
171,999,20,0,
172,499,30,0,
173,999,0,0,
174,499,0,0,
175,999,40,1,2024-08-14
176,499,20,0,
177,999,0,0,
178,499,0,0,
179,1999,20,0,
180,499,20,0,
181,499,0,0,
182,499,10,1,2024-02-26
183,1999,30,0,
184,1999,40,0,
185,499,20,1,2024-05-06
186,999,20,0,
187,999,10,0,
188,999,10,0,
189,999,0,0,
190,499,0,0,
191,499,10,0,
192,1999,0,0,
193,1999,0,0,
194,999,40,0,
195,499,0,1,2024-05-31
196,499,0,0,
197,999,10,0,
198,1999,0,0,
199,1999,20,0,
200,999,0,0,
201,999,20,0,
202,499,30,0,
203,499,20,0,
204,1999,0,0,
205,999,20,0,
206,499,0,0,
207,499,20,0,
208,999,20,0,
209,499,30,0,
210,499,10,0,
211,999,0,0,
212,999,10,1,2025-03-08
213,999,10,0,
214,499,30,0,
215,999,0,0,
216,499,30,0,
217,499,0,1,2024-12-29
218,999,20,0,
219,999,0,1,2024-07-16
220,999,20,0,
221,999,20,0,
222,999,10,0,
223,499,20,1,2024-04-15
224,499,20,1,2025-03-08
225,499,20,0,
226,499,20,0,
227,1999,30,0,
228,499,0,0,
229,1999,0,0,
230,999,40,1,2024-10-13
231,999,30,1,2023-10-23
232,999,10,0,
233,999,0,1,2025-03-01
234,499,30,1,2025-12-23
235,499,20,0,
236,999,40,0,
237,499,0,0,
238,499,0,1,2024-03-13
239,999,10,0,
240,499,30,0,
241,1999,40,1,2024-09-23
242,1999,0,0,
243,1999,0,0,
244,499,0,1,2025-06-27
245,499,30,0,
246,1999,10,0,
247,499,30,0,
248,1999,10,0,
249,1999,0,0,
250,1999,20,0,
251,499,10,0,
252,499,10,1,2024-09-01
253,1999,30,0,
254,499,10,1,2025-05-20
255,499,20,0,
256,999,0,0,
257,1999,10,0,
258,999,10,0,
259,999,0,1,2024-11-17
260,499,0,0,
261,999,20,0,
262,1999,0,1,2025-04-17
263,499,0,0,
264,999,0,0,
265,1999,30,0,
266,999,20,0,
267,999,20,0,
268,999,0,1,2024-05-23
269,499,0,0,
270,499,0,0,
271,999,10,0,
272,999,20,0,
273,1999,0,0,
274,1999,10,0,
275,999,0,0,
276,999,0,0,
277,999,20,1,2025-04-09
278,999,20,0,
279,999,0,0,
280,999,30,0,
281,1999,0,0,
282,499,30,0,
283,499,10,0,
284,499,10,0,
285,999,10,0,
286,499,30,0,
287,499,0,0,
288,999,20,1,2024-04-03
289,499,0,0,
290,999,30,1,2024-10-08
291,499,0,0,
292,499,20,0,
293,999,10,0,
294,499,20,0,
295,499,0,0,
296,999,0,0,
297,999,0,0,
298,499,40,0,
299,999,0,0,
300,499,40,0,
301,499,10,1,2024-06-03
302,999,0,0,
303,999,0,0,
304,999,10,0,
305,999,20,1,2024-04-10
306,1999,10,0,
307,999,0,0,
308,499,0,0,
309,999,0,0,
310,499,20,0,
311,499,10,0,
312,499,10,0,
313,499,0,0,
314,1999,20,0,
315,999,0,0,
316,999,40,0,
317,499,20,0,
318,499,0,0,
319,499,20,0,
320,499,20,0,
321,999,20,1,2025-01-23
322,999,0,0,
323,999,40,1,2024-06-24
324,499,0,0,
325,1999,0,0,
326,999,0,1,2025-01-07
327,999,0,0,
328,999,0,0,
329,499,20,0,
330,499,0,0,
331,499,20,1,2024-01-08
332,999,0,0,
333,499,0,0,
334,499,0,1,2025-05-02
335,499,20,0,
336,499,10,1,2026-02-05
337,1999,20,0,
338,999,30,0,
339,499,0,0,
340,499,10,0,
341,499,0,0,
342,499,10,0,
343,499,0,0,
344,499,10,0,
345,499,30,1,2026-01-14
346,999,10,0,
347,999,30,0,
348,499,20,1,2025-09-05
349,499,30,0,
350,999,30,0,
351,999,10,0,
352,1999,20,1,2024-07-26
353,999,10,0,
354,499,20,1,2024-06-08
355,499,0,0,
356,999,40,0,
357,499,30,0,
358,999,30,1,2024-04-29
359,1999,0,0,
360,999,0,0,
361,499,10,0,
362,999,30,0,
363,499,30,1,2025-01-27
364,999,0,0,
365,1999,10,0,
366,499,10,0,
367,1999,20,0,
368,1999,0,0,
369,499,0,0,
370,499,0,0,
371,499,0,0,
372,499,30,0,
373,499,20,0,
374,999,20,0,
375,499,30,0,
376,499,10,0,
377,999,10,0,
378,499,0,1,2024-10-29
379,999,0,1,2023-10-18
380,499,20,0,
381,499,30,0,
382,999,30,0,
383,999,0,0,
384,1999,0,1,2025-02-26
385,999,10,0,
386,999,0,0,
387,499,0,0,
388,499,10,0,
389,999,10,0,
390,999,20,0,
391,1999,40,0,
392,499,20,0,
393,499,0,0,
394,999,40,0,
395,499,10,1,2026-01-25
396,1999,20,1,2023-09-21
397,1999,0,0,
398,499,10,0,
399,999,10,0,
400,999,30,0,
401,499,30,0,
402,1999,0,0,
403,999,0,0,
404,999,0,0,
405,499,10,0,
406,1999,0,1,2024-01-27
407,499,0,0,
408,499,20,1,2024-07-22
409,1999,0,0,
410,499,0,0,
411,499,20,0,
412,1999,10,0,
413,1999,30,1,2024-10-09
414,999,10,0,
415,999,30,1,2023-05-14
416,499,10,1,2024-05-22
417,499,0,1,2025-06-08
418,499,10,0,
419,999,10,0,
420,999,20,0,
421,999,30,0,
422,999,0,0,
423,499,20,0,
424,499,20,0,
425,499,30,0,
426,999,10,0,
427,499,0,0,
428,1999,30,0,
429,499,30,1,2025-09-18
430,499,0,0,
431,499,0,1,2025-05-22
432,999,30,1,2023-11-02
433,999,10,0,
434,499,0,0,
435,499,20,0,
436,999,10,0,
437,499,40,0,
438,999,0,1,2023-09-20
439,999,0,0,
440,499,0,1,2025-11-29
441,499,0,0,
442,1999,0,0,
443,499,30,1,2025-07-22
444,499,0,1,2024-02-01
445,999,20,0,
446,1999,10,0,
447,1999,10,1,2024-11-01
448,999,20,0,
449,499,20,0,
450,499,0,0,
451,999,0,0,
452,999,10,0,
453,499,30,0,
454,1999,0,1,2024-02-07
455,499,0,0,
456,499,10,1,2025-05-14
457,499,0,0,
458,499,40,0,
459,499,0,1,2023-10-24
460,499,10,0,
461,499,0,1,2023-10-26
462,999,20,1,2024-09-10
463,999,20,0,
464,999,30,0,
465,1999,10,0,
466,499,0,0,
467,499,0,0,
468,1999,20,0,
469,499,10,0,
470,1999,0,1,2024-12-18
471,499,0,0,
472,1999,0,0,
473,499,0,1,2024-01-03
474,1999,20,0,
475,999,20,0,
476,1999,40,0,
477,499,10,0,
478,999,10,0,
479,1999,0,0,
480,999,10,0,
481,999,20,0,
482,999,0,0,
483,499,0,0,
484,999,0,0,
485,999,0,1,2025-08-07
486,1999,10,1,2023-09-27
487,499,10,0,
488,499,20,0,
489,1999,20,0,
490,1999,20,0,
491,499,0,0,
492,999,20,0,
493,499,10,0,
494,499,10,0,
495,499,20,0,
496,499,10,0,
497,999,10,0,
498,499,0,1,2024-04-15
499,1999,30,0,
500,1999,10,0,
501,999,10,0,
502,999,0,0,
503,499,10,0,
504,999,0,0,
505,999,0,0,
506,499,20,0,
507,1999,30,0,
508,999,30,1,2025-06-26
509,1999,40,0,
510,999,20,0,
511,999,20,0,
512,499,10,1,2025-04-22
513,1999,0,0,
514,1999,0,0,
515,499,0,0,
516,499,10,0,
517,499,20,0,
518,999,20,0,
519,1999,10,0,
520,499,0,0,
521,999,0,0,
522,499,40,0,
523,1999,30,1,2025-02-26
524,999,0,0,
525,999,20,0,
