user_id,avg_weekly_logins,feature_usage_score,support_tickets_last_30d,last_active_date
1,2,79,0,2025-04-08
2,4,12,0,2024-10-06
3,3,72,0,2023-03-16
4,1,69,0,2025-03-04
5,5,52,1,2023-11-23
6,2,97,0,2024-05-21
7,3,50,2,2023-11-02
8,0,27,1,2023-05-29
9,1,75,0,2025-06-17
10,3,31,0,2024-10-01
11,2,61,1,2024-03-09
12,2,86,1,2025-01-03
13,3,69,1,2025-07-18
14,2,55,1,2023-08-25
15,3,52,1,2023-05-06
16,5,85,2,2023-08-22
17,3,35,0,2024-01-05
18,5,75,1,2025-02-16
19,4,100,1,2025-02-11
20,4,70,0,2024-12-11
21,4,55,1,2023-09-22
22,2,56,1,2025-11-06
23,2,50,0,2024-08-01
24,5,46,0,2026-01-11
25,5,62,3,2025-12-16
26,1,73,2,2024-12-12
27,3,92,1,2025-10-14
28,8,20,2,2024-01-31
29,3,11,0,2025-03-29
30,6,92,0,2025-05-01
31,1,61,3,2023-12-27
32,3,62,1,2023-08-02
33,2,70,2,2024-06-20
34,1,56,0,2025-03-19
35,2,99,0,2024-08-08
36,3,69,0,2024-10-20
37,4,51,1,2024-04-03
38,2,52,4,2024-09-06
39,2,57,0,2024-02-27
40,3,44,0,2025-01-22
41,5,93,1,2024-12-01
42,3,62,2,2023-10-20
43,3,36,3,2025-05-18
44,2,68,1,2024-01-14
45,1,88,2,2024-03-14
46,3,81,1,2024-06-02
47,4,44,1,2025-01-20
48,2,37,3,2024-11-16
49,1,88,0,2023-08-24
50,5,27,0,2024-05-31
51,2,67,0,2025-12-13
52,2,48,1,2023-08-28
53,5,86,1,2024-02-28
54,1,38,1,2023-04-28
55,3,44,1,2025-02-17
56,6,72,1,2024-02-26
57,4,75,1,2025-08-21
58,6,87,0,2025-12-25
59,0,69,1,2025-06-06
60,3,66,0,2025-01-20
61,5,80,0,2024-03-13
62,3,32,0,2025-06-16
63,4,42,0,2024-01-14
64,1,34,0,2024-09-03
65,7,6,0,2026-03-14
66,2,76,0,2024-11-15
67,4,88,1,2024-07-24
68,4,71,0,2023-10-17
69,1,67,0,2023-11-03
70,3,61,2,2023-11-14
71,3,61,1,2025-07-19
72,6,93,1,2024-02-09
73,4,90,1,2025-03-13
74,3,48,1,2025-11-02
75,3,82,1,2025-04-11
76,3,84,1,2023-07-20
77,3,73,1,2024-10-12
78,4,67,3,2024-08-12
79,3,67,1,2023-12-31
80,1,30,0,2026-06-12
81,4,28,1,2024-02-05
82,5,75,0,2026-01-23
83,5,37,1,2026-07-05
84,3,32,0,2026-04-27
85,3,18,3,2023-11-24
86,5,50,2,2026-02-02
