user_id,signup_date,plan_type,acquisition_channel,country
1,2024-10-16,Basic,Paid Ads,India
2,2023-04-25,Premium,Paid Ads,UK
3,2023-01-26,Pro,Organic,UK
4,2023-10-09,Pro,Referral,Canada
5,2023-09-08,Basic,Paid Ads,UK
6,2023-08-17,Basic,Organic,USA
7,2023-05-23,Basic,Paid Ads,USA
8,2023-04-15,Premium,Organic,India
9,2024-11-23,Pro,Paid Ads,Canada
10,2024-07-12,Pro,Organic,UK
11,2023-03-31,Basic,Referral,India
12,2024-08-27,Premium,Organic,UK
13,2024-03-08,Pro,Paid Ads,USA
14,2023-02-02,Basic,Organic,UK
15,2023-01-31,Basic,Paid Ads,UK
16,2023-04-06,Basic,Paid Ads,UK
17,2023-08-12,Basic,Paid Ads,USA
18,2023-08-27,Pro,Paid Ads,USA
19,2024-06-01,Basic,Paid Ads,Canada
20,2024-09-08,Basic,Referral,USA
21,2023-01-28,Pro,Paid Ads,India
22,2024-07-28,Basic,Referral,UK
23,2023-07-23,Basic,Referral,USA
24,2024-10-27,Basic,Organic,India
25,2024-12-19,Basic,Organic,USA
26,2024-07-12,Pro,Organic,UK
27,2024-03-05,Basic,Referral,India
28,2023-08-14,Pro,Organic,USA
29,2024-04-04,Pro,Paid Ads,USA
30,2024-08-26,Basic,Referral,India
31,2023-10-12,Pro,Organic,Canada
32,2023-01-07,Basic,Paid Ads,India
33,2023-06-13,Basic,Organic,India
34,2024-12-15,Premium,Organic,India
35,2024-03-08,Premium,Paid Ads,India
36,2023-12-15,Pro,Organic,USA
37,2023-10-12,Basic,Organic,India
38,2023-06-09,Basic,Referral,India
39,2023-08-09,Pro,Organic,UK
40,2023-12-11,Basic,Referral,USA
41,2023-04-15,Basic,Referral,UK
42,2023-04-05,Basic,Organic,USA
43,2024-01-25,Basic,Organic,Canada
44,2023-04-10,Premium,Paid Ads,Canada
45,2024-01-03,Basic,Paid Ads,USA
46,2023-12-19,Pro,Organic,Canada
47,2024-09-10,Basic,Paid Ads,Canada
48,2023-09-28,Pro,Organic,USA
49,2023-02-14,Pro,Referral,India
50,2024-04-15,Basic,Organic,UK
51,2024-07-03,Premium,Organic,USA
52,2023-05-08,Pro,Organic,USA
53,2024-01-23,Premium,Referral,USA
54,2023-03-22,Premium,Paid Ads,UK
55,2024-07-19,Pro,Referral,USA
56,2023-10-28,Premium,Organic,UK
57,2024-10-05,Basic,Organic,UK
58,2024-09-25,Basic,Organic,Canada
59,2024-01-06,Basic,Paid Ads,India
60,2024-08-14,Basic,Paid Ads,Canada
61,2023-07-16,Basic,Paid Ads,USA
62,2024-12-22,Basic,Organic,USA
63,2023-03-13,Pro,Referral,UK
64,2023-02-16,Basic,Organic,Canada
65,2024-11-08,Basic,Referral,UK
66,2023-08-22,Pro,Organic,Canada
67,2023-10-24,Basic,Paid Ads,Canada
68,2023-03-23,Pro,Organic,Canada
69,2023-08-27,Basic,Organic,Canada
70,2023-04-14,Premium,Paid Ads,Canada
71,2024-01-25,Pro,Organic,India
72,2023-10-12,Basic,Organic,USA
73,2024-04-09,Basic,Paid Ads,Canada
74,2024-10-12,Pro,Paid Ads,Canada
75,2024-01-09,Pro,Referral,UK
76,2023-06-16,Pro,Organic,USA
77,2024-01-15,Pro,Paid Ads,USA
78,2023-12-30,Basic,Paid Ads,USA
79,2023-08-03,Basic,Organic,Canada
80,2024-11-17,Basic,Paid Ads,UK
81,2023-10-01,Premium,Organic,USA
82,2024-12-19,Pro,Organic,UK
83,2024-11-30,Basic,Organic,India
84,2024-10-25,Basic,Organic,India
85,2023-03-15,Basic,Paid Ads,UK
86,2024-09-15,Basic,Paid Ads,Canada
87,2024-10-12,Pro,Referral,USA
88,2023-06-25,Pro,Paid Ads,India
89,2024-06-30,Premium,Organic,India
90,2023-09-08,Basic,Referral,UK
91,2023-06-17,Basic,Referral,Canada
92,2024-04-18,Pro,Organic,UK
93,2024-01-24,Pro,Paid Ads,UK
94,2023-10-04,Pro,Referral,UK
95,2024-10-17,Pro,Paid Ads,UK
96,2024-12-05,Basic,Referral,UK
97,2024-07-24,Pro,Organic,Canada
98,2023-08-13,Basic,Organic,UK
99,2024-12-02,Basic,Organic,Canada
100,2023-11-29,Basic,Paid Ads,USA
101,2023-02-27,Basic,Referral,USA
102,2023-08-23,Pro,Referral,USA
103,2023-02-02,Basic,Organic,USA
104,2023-11-20,Pro,Organic,India
105,2024-02-15,Premium,Referral,Canada
106,2023-10-02,Basic,Paid Ads,USA
107,2023-03-09,Basic,Organic,India
108,2023-08-05,Pro,Paid Ads,Canada
109,2024-08-03,Basic,Paid Ads,India
110,2023-11-19,Basic,Paid Ads,India
111,2023-08-06,Basic,Paid Ads,UK
112,2024-11-02,Basic,Organic,India
113,2024-05-26,Premium,Referral,India
114,2024-02-10,Pro,Paid Ads,Canada
115,2024-10-20,Pro,Organic,India
116,2024-04-14,Premium,Organic,UK
117,2023-05-27,Pro,Paid Ads,USA
118,2023-09-29,Basic,Organic,USA
119,2023-05-23,Premium,Organic,Canada
120,2023-09-10,Pro,Paid Ads,Canada
121,2024-07-28,Pro,Organic,India
122,2024-07-05,Premium,Paid Ads,Canada
123,2023-09-27,Basic,Organic,India
124,2024-08-21,Basic,Paid Ads,Canada
125,2024-03-14,Basic,Organic,USA
126,2024-08-20,Basic,Organic,USA
127,2024-02-13,Pro,Organic,USA
128,2024-01-06,Premium,Referral,USA
129,2023-08-13,Basic,Referral,India
130,2023-05-22,Pro,Organic,India
131,2024-06-05,Basic,Paid Ads,India
132,2024-05-20,Basic,Paid Ads,USA
133,2023-04-04,Basic,Referral,UK
134,2023-02-18,Basic,Organic,USA
135,2023-04-23,Premium,Paid Ads,USA
136,2023-06-06,Basic,Organic,UK
137,2024-10-04,Pro,Organic,UK
138,2023-06-13,Pro,Referral,Canada
139,2024-11-27,Basic,Paid Ads,USA
140,2024-03-08,Premium,Organic,UK
141,2024-09-02,Premium,Organic,Canada
142,2023-03-07,Basic,Paid Ads,UK
143,2024-01-30,Basic,Paid Ads,UK
144,2024-01-26,Basic,Organic,Canada
145,2024-09-02,Basic,Referral,USA
146,2024-04-24,Basic,Organic,Canada
147,2024-06-25,Pro,Organic,USA
148,2023-09-15,Pro,Referral,UK
149,2024-07-20,Basic,Organic,Canada
150,2023-01-12,Basic,Organic,India
151,2024-11-27,Premium,Paid Ads,UK
152,2023-04-28,Basic,Referral,Canada
153,2024-11-29,Basic,Organic,UK
154,2024-07-03,Basic,Referral,Canada
155,2023-10-01,Premium,Paid Ads,USA
156,2024-10-18,Basic,Organic,India
157,2023-12-15,Pro,Paid Ads,UK
158,2023-04-25,Pro,Organic,India
159,2023-10-28,Basic,Organic,USA
160,2024-03-21,Pro,Paid Ads,Canada
161,2023-06-11,Basic,Referral,India
162,2024-04-09,Pro,Organic,Canada
163,2023-01-04,Pro,Organic,USA
164,2023-09-27,Pro,Paid Ads,UK
165,2024-05-27,Basic,Organic,USA
166,2023-07-02,Pro,Organic,India
167,2024-06-03,Basic,Organic,India
168,2023-04-19,Basic,Paid Ads,India
169,2024-10-02,Basic,Organic,Canada
170,2023-11-02,Pro,Organic,UK
171,2024-10-16,Pro,Referral,India
172,2024-06-03,Basic,Referral,India
173,2024-09-15,Pro,Paid Ads,India
174,2023-07-23,Basic,Organic,USA
175,2023-06-06,Pro,Paid Ads,India
176,2024-01-18,Basic,Organic,USA
177,2023-06-15,Pro,Organic,India
178,2024-07-06,Basic,Paid Ads,USA
179,2024-06-27,Premium,Organic,Canada
180,2023-01-01,Basic,Organic,Canada
181,2024-09-05,Basic,Organic,USA
182,2023-11-28,Basic,Organic,UK
183,2024-05-15,Premium,Organic,UK
184,2023-01-20,Premium,Referral,USA
185,2023-04-25,Basic,Organic,Canada
186,2024-01-07,Pro,Organic,USA
187,2023-11-11,Pro,Organic,UK
188,2023-09-03,Pro,Referral,USA
189,2023-03-01,Pro,Paid Ads,Canada
190,2023-09-04,Basic,Organic,UK
191,2024-08-03,Basic,Referral,UK
192,2023-03-22,Premium,Organic,India
193,2023-03-29,Premium,Organic,India
194,2024-05-12,Pro,Organic,UK
195,2023-03-12,Basic,Organic,UK
196,2024-06-29,Basic,Organic,USA
197,2023-05-09,Pro,Paid Ads,Canada
198,2023-05-12,Premium,Organic,UK
199,2024-11-06,Premium,Paid Ads,Canada
200,2024-05-01,Pro,Organic,UK
201,2024-07-16,Pro,Organic,Canada
202,2023-06-19,Basic,Organic,India
203,2023-09-29,Basic,Referral,UK
204,2024-06-24,Premium,Organic,USA
205,2024-09-13,Pro,Paid Ads,Canada
206,2024-03-09,Basic,Organic,UK
207,2023-08-05,Basic,Organic,India
208,2024-07-06,Pro,Organic,India
209,2024-12-07,Basic,Organic,India
210,2023-07-25,Basic,Organic,India
211,2024-12-31,Pro,Organic,UK
212,2023-11-16,Pro,Paid Ads,USA
213,2024-02-13,Pro,Organic,Canada
214,2024-11-18,Basic,Paid Ads,USA
215,2024-10-27,Pro,Organic,Canada
216,2024-01-18,Basic,Paid Ads,USA
217,2024-03-24,Basic,Paid Ads,UK
218,2024-06-13,Pro,Organic,UK
219,2024-04-07,Pro,Organic,Canada
220,2023-05-04,Pro,Paid Ads,UK
221,2023-09-11,Pro,Referral,Canada
222,2023-08-19,Pro,Organic,USA
223,2023-03-07,Basic,Organic,UK
224,2023-12-13,Basic,Referral,UK
225,2023-01-22,Basic,Organic,Canada
226,2024-08-25,Basic,Paid Ads,Canada
227,2024-07-21,Premium,Organic,Canada
228,2023-08-24,Basic,Organic,Canada
229,2024-08-25,Premium,Paid Ads,India
230,2023-08-14,Pro,Paid Ads,Canada
231,2023-01-08,Pro,Organic,India
232,2023-03-14,Pro,Paid Ads,USA
233,2024-12-25,Pro,Paid Ads,Canada
234,2024-10-08,Basic,Paid Ads,India
235,2023-03-02,Basic,Organic,India
236,2023-08-23,Pro,Paid Ads,India
237,2023-03-11,Basic,Paid Ads,UK
238,2023-02-02,Basic,Paid Ads,India
239,2023-12-05,Pro,Paid Ads,Canada
240,2023-03-14,Basic,Organic,Canada
241,2024-06-10,Premium,Paid Ads,Canada
242,2023-09-01,Premium,Paid Ads,India
243,2023-10-13,Premium,Organic,India
244,2024-11-16,Basic,Organic,UK
245,2024-05-12,Basic,Organic,USA
246,2023-08-08,Premium,Paid Ads,UK
247,2024-07-06,Basic,Organic,Canada
248,2023-05-16,Premium,Paid Ads,Canada
249,2024-08-07,Premium,Referral,Canada
250,2024-08-13,Premium,Paid Ads,UK
251,2024-04-29,Basic,Referral,Canada
252,2023-09-06,Basic,Referral,Canada
253,2024-04-29,Premium,Organic,Canada
254,2024-02-21,Basic,Paid Ads,India
255,2023-07-14,Basic,Organic,USA
256,2023-04-07,Pro,Referral,India
257,2023-04-10,Premium,Organic,India
258,2024-11-05,Pro,Referral,USA
259,2024-03-17,Pro,Paid Ads,USA
260,2023-12-29,Basic,Paid Ads,UK
261,2024-03-09,Pro,Organic,USA
262,2024-02-25,Premium,Organic,UK
263,2024-04-23,Basic,Paid Ads,UK
264,2023-02-25,Pro,Organic,India
265,2024-11-20,Premium,Referral,Canada
266,2024-10-31,Pro,Organic,India
267,2024-10-23,Pro,Paid Ads,India
268,2023-04-11,Pro,Organic,USA
269,2023-03-04,Basic,Paid Ads,USA
270,2024-02-17,Basic,Paid Ads,UK
271,2023-12-14,Pro,Organic,UK
272,2023-04-22,Pro,Organic,UK
273,2023-09-12,Premium,Organic,USA
274,2023-07-16,Premium,Paid Ads,UK
275,2023-07-14,Pro,Paid Ads,UK
276,2024-07-03,Pro,Paid Ads,USA
277,2024-04-04,Pro,Paid Ads,Canada
278,2023-05-24,Pro,Organic,India
279,2024-03-08,Pro,Organic,USA
280,2023-07-07,Pro,Organic,UK
281,2023-10-13,Premium,Organic,India
282,2024-04-18,Basic,Referral,USA
283,2023-09-13,Basic,Referral,India
284,2023-03-19,Basic,Organic,India
285,2024-03-29,Pro,Paid Ads,Canada
286,2024-07-17,Basic,Referral,UK
287,2023-04-11,Basic,Organic,USA
288,2023-02-21,Pro,Organic,UK
289,2024-10-29,Basic,Organic,Canada
290,2024-07-07,Pro,Paid Ads,Canada
291,2023-01-16,Basic,Referral,USA
292,2023-04-06,Basic,Paid Ads,USA
293,2023-08-31,Pro,Organic,Canada
294,2023-06-20,Basic,Organic,USA
295,2024-02-21,Basic,Paid Ads,India
296,2024-05-12,Pro,Referral,India
297,2024-05-07,Pro,Paid Ads,Canada
298,2023-08-07,Basic,Paid Ads,UK
299,2024-02-15,Pro,Organic,USA
300,2023-03-02,Basic,Referral,USA
301,2023-06-18,Basic,Paid Ads,India
302,2024-01-24,Pro,Organic,USA
303,2023-01-03,Pro,Paid Ads,UK
304,2024-02-04,Pro,Organic,USA
305,2023-09-29,Pro,Organic,USA
306,2024-04-10,Premium,Organic,India
307,2023-10-20,Pro,Organic,USA
308,2024-03-09,Basic,Organic,Canada
309,2024-12-14,Pro,Organic,Canada
310,2024-07-23,Basic,Paid Ads,UK
311,2024-11-08,Basic,Paid Ads,UK
312,2024-05-13,Basic,Organic,UK
313,2023-06-08,Basic,Organic,UK
314,2023-07-14,Premium,Paid Ads,India
315,2023-10-31,Pro,Organic,USA
316,2023-08-11,Pro,Organic,India
317,2023-03-01,Basic,Referral,UK
318,2024-08-16,Basic,Paid Ads,USA
319,2024-07-09,Basic,Referral,Canada
320,2023-03-04,Basic,Paid Ads,India
321,2023-11-18,Pro,Organic,USA
322,2023-02-28,Pro,Paid Ads,Canada
323,2023-02-21,Pro,Organic,Canada
324,2024-08-21,Basic,Organic,UK
325,2024-05-03,Premium,Organic,Canada
326,2024-05-29,Pro,Referral,Canada
327,2024-06-27,Pro,Organic,UK
328,2023-06-11,Pro,Referral,USA
329,2023-02-28,Basic,Referral,USA
330,2024-06-04,Basic,Paid Ads,UK
331,2023-03-24,Basic,Paid Ads,India
332,2023-07-10,Pro,Paid Ads,UK
333,2023-03-12,Basic,Referral,USA
334,2024-09-01,Basic,Organic,India
335,2023-03-11,Basic,Paid Ads,UK
336,2024-11-22,Basic,Paid Ads,USA
337,2023-08-29,Premium,Referral,USA
338,2024-02-18,Pro,Paid Ads,USA
339,2023-05-03,Basic,Paid Ads,Canada
340,2024-08-06,Basic,Paid Ads,Canada
341,2023-09-10,Basic,Referral,India
342,2024-08-15,Basic,Paid Ads,India
343,2024-08-31,Basic,Organic,India
344,2023-02-10,Basic,Paid Ads,Canada
345,2024-09-26,Basic,Referral,India
346,2023-03-25,Pro,Paid Ads,USA
347,2024-03-05,Pro,Referral,USA
348,2024-11-04,Basic,Organic,India
349,2024-08-20,Basic,Paid Ads,India
350,2024-08-01,Pro,Paid Ads,Canada
351,2024-06-19,Pro,Referral,USA
352,2023-11-20,Premium,Organic,UK
353,2023-09-25,Pro,Referral,UK
354,2023-07-29,Basic,Paid Ads,Canada
355,2024-11-16,Basic,Organic,Canada
356,2023-11-18,Pro,Organic,Canada
357,2023-09-02,Basic,Organic,USA
358,2023-09-29,Pro,Paid Ads,India
359,2024-02-10,Premium,Organic,India
360,2023-05-15,Pro,Organic,Canada
361,2024-11-18,Basic,Referral,USA
362,2024-10-22,Pro,Organic,UK
363,2023-11-04,Basic,Organic,Canada
364,2024-04-13,Pro,Paid Ads,USA
365,2023-11-20,Premium,Paid Ads,Canada
366,2023-03-16,Basic,Paid Ads,USA
367,2023-01-10,Premium,Organic,USA
368,2024-04-14,Premium,Paid Ads,Canada
369,2024-09-28,Basic,Paid Ads,India
370,2024-07-30,Basic,Organic,Canada
371,2023-04-13,Basic,Organic,India
372,2023-03-17,Basic,Organic,India
373,2024-07-04,Basic,Organic,UK
374,2023-08-07,Pro,Paid Ads,USA
375,2024-06-02,Basic,Paid Ads,Canada
376,2023-09-29,Basic,Organic,USA
377,2023-05-16,Pro,Organic,UK
378,2023-12-24,Basic,Organic,India
379,2023-03-12,Pro,Paid Ads,Canada
380,2023-09-08,Basic,Organic,USA
381,2024-01-14,Basic,Paid Ads,UK
382,2023-10-19,Pro,Organic,India
383,2023-06-11,Pro,Paid Ads,India
384,2024-03-24,Premium,Referral,USA
385,2024-07-10,Pro,Organic,India
386,2024-12-21,Pro,Paid Ads,UK
387,2023-11-06,Basic,Referral,India
388,2024-09-18,Basic,Organic,Canada
389,2024-10-31,Pro,Paid Ads,Canada
390,2024-06-25,Pro,Organic,USA
391,2023-01-09,Premium,Paid Ads,UK
392,2024-11-14,Basic,Organic,India
393,2024-07-21,Basic,Referral,India
394,2023-11-03,Pro,Paid Ads,India
395,2024-11-10,Basic,Paid Ads,Canada
396,2023-04-17,Premium,Paid Ads,UK
397,2023-05-18,Premium,Paid Ads,India
398,2023-09-28,Basic,Organic,USA
399,2023-04-29,Pro,Referral,UK
400,2023-04-20,Pro,Referral,UK
401,2024-07-20,Basic,Paid Ads,India
402,2023-06-09,Premium,Referral,Canada
403,2023-10-06,Pro,Paid Ads,UK
404,2023-10-16,Pro,Paid Ads,USA
405,2024-09-11,Basic,Paid Ads,UK
406,2023-08-04,Premium,Organic,Canada
407,2023-12-18,Basic,Organic,USA
408,2023-07-28,Basic,Organic,Canada
409,2024-12-04,Premium,Paid Ads,India
410,2024-10-11,Basic,Organic,UK
411,2023-09-28,Basic,Organic,USA
412,2024-06-01,Premium,Referral,Canada
413,2024-05-15,Premium,Organic,India
414,2023-09-15,Pro,Paid Ads,USA
415,2023-02-22,Pro,Organic,UK
416,2023-04-05,Basic,Organic,UK
417,2024-10-11,Basic,Paid Ads,Canada
418,2024-03-09,Basic,Paid Ads,USA
419,2023-10-11,Pro,Paid Ads,India
420,2023-02-15,Pro,Organic,India
421,2023-01-04,Pro,Paid Ads,India
422,2023-12-08,Pro,Organic,Canada
423,2023-05-14,Basic,Organic,India
424,2024-10-14,Basic,Organic,USA
425,2023-09-26,Basic,Organic,Canada
426,2023-06-15,Pro,Organic,UK
427,2024-03-28,Basic,Organic,Canada
428,2024-07-18,Premium,Referral,Canada
429,2024-12-23,Basic,Organic,Canada
430,2024-03-13,Basic,Organic,USA
431,2024-07-28,Basic,Organic,UK
432,2023-01-10,Pro,Paid Ads,UK
433,2023-04-25,Pro,Organic,Canada
434,2023-03-19,Basic,Referral,Canada
435,2024-12-08,Basic,Referral,Canada
436,2023-06-02,Pro,Organic,USA
437,2024-07-12,Basic,Paid Ads,USA
438,2023-02-06,Pro,Organic,India
439,2024-01-14,Pro,Paid Ads,UK
440,2024-08-19,Basic,Organic,India
441,2024-07-19,Basic,Organic,India
442,2023-06-01,Premium,Organic,Canada
443,2024-03-16,Basic,Paid Ads,USA
444,2023-05-11,Basic,Organic,India
445,2023-02-12,Pro,Organic,India
446,2023-11-12,Premium,Paid Ads,India
447,2024-01-09,Premium,Paid Ads,Canada
